ID,Domain,Severity,Regular Price,Offer Price,Discount %,In-Stock Sizes,Out-Of-Stock Sizes,AI Summary,Action
8322,"meritspor.com.tr",WARNING,4300,,0,"46","39 40 42 44 45 47 39.5 40.5 41.5 42.5 43.5 44.5 46.5","محصول دارای موجودی بسیار محدود (فقط یک عدد در سایز ۴۶) و سایر سایزها ناموجود است.","سایزهای ناموجود را در سایت بروزرسانی کرده و وضعیت موجودی سایز ۴۶ را به دقت مانیتور کنید."
41632,"asics.com.tr",WARNING,,,0,"","","خطا در اسکرپ اطلاعات محصول از سایت تامین‌کننده رخ داده است.","لینک تامین‌کننده و وضعیت ساختار صفحه را بررسی و در صورت تغییر، اسکرپر را اصلاح کنید."
32475,"meritspor.com.tr",WARNING,7200,,0,"40.5 42.5 44.5 45.5","39 40 41 42 43 44 45 46 38.5","بیشتر سایزهای این محصول ناموجود شده و موجودی مابقی سایزها بسیار محدود است.","سایزهای ناموجود را غیرفعال کرده و برای اتمام موجودی باقی‌مانده آماده باشید."
42004,"opsarsport.com",INFO,6900,6452,6,"42 44 45 42.5","","تامین‌کننده ۶ درصد تخفیف روی محصول اعمال کرده و موجودی سایزها محدود است.","قیمت سایت را متناسب با قیمت جدید تامین‌کننده (6452 لیر) تعدیل کنید."
41970,"tenisburada.com",WARNING,8299,,0,"44 46 42.5","41 42 43 45 40.5 44.5 45.5","تنها سه سایز با موجودی ۱ عددی از این محصول باقی مانده و مابقی ناموجود هستند.","سایزهای ناموجود را در سایت غیرفعال کنید تا از سفارشات ناموفق جلوگیری شود."
41002,"tenisshop.com",WARNING,,,0,"","","اسکرپر در دریافت اطلاعات محصول از تامین‌کننده دچار خطا شده است.","عملکرد اسکرپر و سلامت لینک تامین‌کننده را بررسی کنید."
39387,"swatch.com",WARNING,,,0,"","","خطای استخراج داده از سایت تامین‌کننده برای این محصول ثبت شده است.","رابطه و سلکتورهای اسکرپر را برای سایت swatch.com بررسی و عیب‌یابی کنید."
42117,"swatch.com",WARNING,,,0,"","","اطلاعات این محصول به دلیل خطای اسکرپر قابل دریافت نیست.","وضعیت صفحه تامین‌کننده را به صورت دستی بررسی و اسکرپر را بروز کنید."
42617,"raketspor.com.tr",CRITICAL,8500,,0,"","40 41 42 43 44 45 46 40.5 42.5 44.5 45.5","تمام سایزهای این محصول در سایت تامین‌کننده کاملاً ناموجود شده‌اند.","محصول را در سایت خودمان بلافاصله ناموجود یا غیرفعال کنید."
42627,"opsarsport.com",WARNING,8799,,0,"43","","فقط یک عدد از سایز ۴۳ این محصول در انبار تامین‌کننده باقی مانده است.","وضعیت موجودی را رصد کرده و پس از فروش، محصول را سریعاً ناموجود کنید."
