ID,SKU,Fiyat (TL),Stok,Adet,Ürün Adı,URL
548,75192,52999,Mevcut,5,"75192 LEGO® Star Wars™ Millennium Falcon™","https://lego.tr/product/75192-lego-star-wars-millennium-falcon"
612,43020,10999,Mevcut,23,"43020 LEGO® Editions Sports FIFA Dünya Kupası Resmi Kupa","https://lego.tr/43020-lego-editions-sports-fifa-dunya-kupasi-resmi-kupa"
658,10307,39999,Tükendi,0,"10307 LEGO® Icons Eyfel Kulesi","https://lego.tr/product/10307-lego-icons-eyfel-kulesi"
670,10294,42999,Tükendi,0,"10294 LEGO Icons Titanik","https://lego.tr/product/10294-lego-icons-titanik"
1114,75406,4199,Mevcut,25,"75406 LEGO® Star Wars™ Kylo Ren’in Komuta Mekiği","https://lego.tr/product/75406-lego-star-wars-kylo-renin-komuta-mekigi"
1122,42210,8499,Mevcut,2,"42210 LEGO® Technic Daha Hızlı Daha Öfkeli Nissan Skyline GT-R (R34) Araba","https://lego.tr/product/42210-lego-technic-daha-hizli-daha-ofkeli-nissan-skyline-gt-r-r34-araba"
1130,75408,4799,Mevcut,28,"75408 LEGO® Star Wars™ Jango Fett™ Kaskı","https://lego.tr/product/75408-lego-star-wars-jango-fett-kaski"
1145,76303,3599,Tükendi,0,"76303 LEGO® DC Batman™ Tumbler, Two-Face™ ve Joker™’e Karşı","https://lego.tr/product/76303-lego-dc-batman-tumbler-two-face-ve-jokere-karsi"
1170,77242,1699,Tükendi,0,"77242 LEGO® Speed Champions Ferrari SF-24 F1® Yarış Arabası","https://lego.tr/product/77242-lego-speed-champions-ferrari-sf-24-f1-yaris-arabasi"
1180,77245,1699,Mevcut,2,"77245 LEGO® Speed Champions Aston Martin Aramco F1® AMR24 Yarış Arabası","https://lego.tr/product/77245-lego-speed-champions-aston-martin-aramco-f1-amr24-yaris-arabasi"
1189,77251,1699,Tükendi,0,"77251 LEGO® Speed Champions McLaren F1® Team MCL38 Yarış Arabası","https://lego.tr/product/77251-lego-speed-champions-mclaren-f1-team-mcl38-yaris-arabasi"
1198,77243,1699,Mevcut,50,"77243 LEGO® Speed Champions Oracle Red Bull Racing RB20 F1® Yarış Arabası","https://lego.tr/product/77243-lego-speed-champions-oracle-red-bull-racing-rb20-f1-yaris-arabasi"
1221,77058,1159,Mevcut,15,"77058 LEGO® Animal Crossing™ Goldie Şirin Evinde","https://lego.tr/product/77058-lego-animal-crossing-goldie-sirin-evinde"
1222,77057,5399,Mevcut,65,"77057 LEGO® Animal Crossing™ Yaratıcı Evler: Eğlenceli Mevsimler","https://lego.tr/product/77057-lego-animal-crossing-yaratici-evler-eglenceli-mevsimler"
1223,77056,4799,Mevcut,58,"77056 LEGO® Animal Crossing™ Blathers Müze Koleksiyonu","https://lego.tr/product/77056-lego-animal-crossing-blathers-muze-koleksiyonu"
1224,77055,2399,Mevcut,26,"77055 LEGO® Animal Crossing Able Sisters Giyim Mağazası","https://lego.tr/product/77055-lego-animal-crossing-able-sisters-giyim-magazasi"
1225,77054,1799,Tükendi,0,"77054 LEGO® Animal Crossing Leif Karavan ve Bahçe Dükkanı","https://lego.tr/product/77054-lego-animal-crossing-leif-karavan-ve-bahce-dukkani"
1226,77053,579,Tükendi,0,"77053 LEGO® Animal Crossing Celeste ile Yıldız Gözlemleme","https://lego.tr/product/77053-lego-animal-crossing-celeste-ile-yildiz-gozlemleme"
1227,30703,299,Mevcut,49,"30703 LEGO® Animal Crossing Julian Plajda Resim Yapıyor","https://lego.tr/product/30703-lego-animal-crossing-julian-plajda-resim-yapiyor"
1228,77052,4999,Mevcut,70,"77052 LEGO® Animal Crossing K.K. Meydan Konseri","https://lego.tr/product/77052-lego-animal-crossing-kk-meydan-konseri"
1229,77051,2399,Mevcut,59,"77051 LEGO® Animal Crossing Dodo Airlines ile Uçun","https://lego.tr/product/77051-lego-animal-crossing-dodo-airlines-ile-ucun"
1230,77050,4899,Mevcut,50,"77050 LEGO® Animal Crossing Nook's Cranny ve Rosie Evi","https://lego.tr/product/77050-lego-animal-crossing-nooks-cranny-ve-rosie-evi"
1231,77049,2499,Mevcut,18,"77049 LEGO® Animal Crossing Isabelle Ev Ziyaretinde","https://lego.tr/product/77049-lego-animal-crossing-isabelle-ev-ziyaretinde"
1232,77048,1999,Mevcut,10,"77048 LEGO® Animal Crossing Kapp'n Ada Tekne Turunda","https://lego.tr/product/77048-lego-animal-crossing-kappn-ada-tekne-turunda"
1233,77047,1199,Mevcut,17,"77047 LEGO® Animal Crossing Bunnie Açık Hava Aktivitelerinde","https://lego.tr/product/77047-lego-animal-crossing-bunnie-acik-hava-aktivitelerinde"
