ID,URL,Title,SKU,Brand,Regular Price (TRY),Offer Price (TRY),Effective Price (TRY),Discount %,In Stock,Status
40261,"https://www.raketspor.com.tr/nike-gp-challenge-1-osaka-sert-kort-kadin-tenis-ayakkabisi-fj1810-700-13134","Nike GP Challenge 1 OSAKA Sert Kort Kadın Tenis Ayakkabısı FJ1810-700","FJ1810-700","Nike",6489,5516,5516,15,Yes,Success
40905,"https://www.raketspor.com.tr/nike-hq5292-001-m-vapor-lite-3-erkek-siyah-toprak-tenis-ayakkbisi-14051?__cf_chl_f_tk=HH2TCBKedwDN4IJYnGERS1It1xW8aoN2uq71mtCP6So-1783156640-1.0.1.1-QdIJUfRkZqH1f3lL7JyHCBGzwLC8uZlDaRKHr0Fw.bU","NIKE  HQ5292-001 M VAPOR LITE 3 Erkek Siyah Toprak Tenis Ayakkbısı","HQ5292-001","Nike",4099,3485,3485,15,Yes,Success
41107,"https://www.raketspor.com.tr/nike-vapor-pro-3-kadin-sert-kort-tenis-ayakkabisi-hf7835-300-13422","Nike Vapor Pro 3 Kadın Sert Kort Tenis Ayakkabısı HF7835-300","HF7835-300","Nike",5689,4836,4836,15,No,Success
15042,"https://www.raketspor.com.tr/nikecourt-vapor-lite-2-erkek-sert-kort-tenis-ayakkabisi-dv2018-100-13116","NikeCourt Vapor Lite 2 Erkek Sert Kort Tenis Ayakkabısı DV2018-100","DV2018-100","Nike",2989,2541,2541,15,Yes,Success
42617,"https://www.raketspor.com.tr/nike-fv5552-001-vapor-12-sert-kort-erkek-tenis-ayakkabisi-siyah-10707",,,,,,,,,Error: HTTP 404
12608,"https://www.raketspor.com.tr/nikecourt-vapor-lite-2-kadin-sert-kort-tenis-ayakkabisi-dv2019-102-13108","NikeCourt Vapor Lite 2 Kadın Sert Kort Tenis Ayakkabısı DV2019-102","DV2019-102","Nike",3239,2754,2754,15,Yes,Success
26595,"https://www.raketspor.com.tr/nikecourt-fd6575-100-lite-4-kadin-tenis-ayakkabisi-beyaz-14429","NikeCourt FD6575-100 Lite 4 Kadın Tenis Ayakkabısı - Beyaz","FD6575-100","Nike",3589,3051,3051,15,Yes,Success
32788,"https://www.raketspor.com.tr/nike-zoom-gp-challenge-1-prm-sert-kort-erkek-tenis-ayakkabisi-fn4698-101-13419","Nike Zoom GP Challenge 1 PRM Sert Kort Erkek Tenis Ayakkabısı FN4698-101","FN4698-101","Nike",5589,4751,4751,15,No,Success
30604,"https://www.raketspor.com.tr/nikecourt-fn0530-001-lite-4-toprak-kort-erkek-tenis-ayakkabisi-siyah-14403","NikeCourt FN0530-001 Lite 4 Toprak Kort Erkek Tenis Ayakkabısı - Siyah","FN0530-001","Nike",3589,3051,3051,15,Yes,Success
12298,"https://www.raketspor.com.tr/nikecourt-vapor-lite-2-kadin-toprak-tenis-ayakkabisi-dv2017-001-13137","NikeCourt Vapor Lite 2 Kadın Toprak Tenis Ayakkabısı DV2017-001","DV2017-001","Nike",3239,2754,2754,15,Yes,Success
27634,"https://www.raketspor.com.tr/nikecourt-fd6574-100-lite-4-erkek-tenis-ayakkabisi-beyaz-14432","NikeCourt FD6574-100 Lite 4 Erkek Tenis Ayakkabısı - Beyaz","FD6574-100","Nike",3589,3051,3051,15,Yes,Success
25560,"https://www.raketspor.com.tr/nikecourt-vapor-lite-2-erkek-sert-kort-tenis-ayakkabisi-dv2018-600-13118","NikeCourt Vapor Lite 2 Erkek Sert Kort Tenis Ayakkabısı DV2018-600","DV2018-600","Nike",2989,2541,2541,15,Yes,Success
15069,"https://www.raketspor.com.tr/nikecourt-vapor-lite-2-erkek-sert-kort-tenis-ayakkabisi-dv2018-001-13114","NikeCourt Vapor Lite 2 Erkek Sert Kort Tenis Ayakkabısı DV2018-001","DV2018-001","Nike",2989,2541,2541,15,Yes,Success
9547,"https://www.raketspor.com.tr/nikecourt-vapor-lite-2-erkek-toprak-kort-tenis-ayakkabisi-dv2016-001-13125","NikeCourt Vapor Lite 2 Erkek Toprak Kort Tenis Ayakkabısı DV2016-001","DV2016-001","Nike",2989,2541,2541,15,Yes,Success
27656,"https://www.raketspor.com.tr/nikecourt-fd6574-001-lite-4-erkek-tenis-ayakkabisi-siyah-14431","NikeCourt FD6574-001 Lite 4 Erkek Tenis Ayakkabısı - Siyah","FD6574-001","Nike",3589,3051,3051,15,Yes,Success
56586,"https://www.raketspor.com.tr/nike-iq5181-300-zoom-gp-challenge-1.5-prm-sert-kort-erkek-tenis-ayakkabisi-14393","Nike IQ5181-300 Zoom GP Challenge 1.5 PRM Sert Kort Erkek Tenis Ayakkabısı","IQ5181-300","Nike",7839,6664,6664,15,Yes,Success
46595,"https://www.raketspor.com.tr/nike-zoom-gp-challenge-1-prm-sert-kort-kadin-sari-tenis-ayakkabisi-hf1140-300-13397","Nike Zoom GP Challenge 1 PRM Sert Kort Kadın Sarı Tenis Ayakkabısı HF1140-300","HF1140-300","Nike",6489,5516,5516,15,Yes,Success
68515,"https://www.raketspor.com.tr/nike-fz2155-001-vapor-lite-3-erkek-siyah-sert-kort-tenis-ayakkabi-14058","Nike FZ2155-001 Vapor Lite 3 Erkek Siyah Sert Kort Tenis Ayakkabı","FZ2155-001","Nike",4299,3655,3655,15,Yes,Success
31148,"https://www.raketspor.com.tr/nikecourt-vapor-lite-2-kadin-toprak-tenis-ayakkabisi-dv2017-303-13138","NikeCourt Vapor Lite 2 Kadın Toprak Tenis Ayakkabısı DV2017-303","DV2017-303","Nike",3239,2754,2754,15,Yes,Success
68451,"https://www.raketspor.com.tr/nike-fz2155-101-m-vapor-lite-3-erkek-beyaz-sert-kort-tenis-ayakkabisi-14050","NIKE  FZ2155-101 M VAPOR LITE 3 Erkek Beyaz Sert Kort Tenis Ayakkabısı","FZ2155-101","Nike",4099,3485,3485,15,Yes,Success
12797,"https://www.raketspor.com.tr/nikecourt-vapor-lite-2-kadin-sert-kort-tenis-ayakkabisi-dv2019-001-13129","NikeCourt Vapor Lite 2 Kadın Sert Kort Tenis Ayakkabısı DV2019-001","DV2019-001","Nike",3239,2754,2754,15,Yes,Success
